"","ccp_res"
"DHH00001Zm00004b03433",4
"DHH00001Zm00004b03462",2
"DHH00001Zm00004b03472",1
"DHH00001Zm00004b03473",1
"DHH00001Zm00004b03544",2
"DHH00001Zm00004b03598",2
"DHH00001Zm00004b03606",4
"DHH00001Zm00004b03621",5
"DHH00001Zm00004b03622",2
"DHH00001Zm00004b03638",1
"DHH00001Zm00004b03639",1
"DHH00001Zm00004b03652",1
"DHH00001Zm00004b03662",3
"DHH00001Zm00004b03672",1
"DHH00001Zm00004b03713",1
"DHH00001Zm00004b03732",1
"DHH00001Zm00004b03735",1
"DHH00001Zm00004b03741",1
"DHH00001Zm00004b03789",3
"DHH00001Zm00004b03801",1
"DHH00001Zm00004b03804",1
"DHH00001Zm00004b03811",1
"DHH00001Zm00004b03815",1
"DHH00001Zm00004b03826",3
"DHH00001Zm00004b03863",1
"DHH00001Zm00004b03876",4
"DHH00001Zm00004b03880",1
"DHH00001Zm00004b03881",4
"DHH00001Zm00004b03902",1
"DHH00001Zm00004b03949",4
"DHH00001Zm00004b03952",3
"DHH00001Zm00004b03958",2
"DHH00001Zm00004b03967",2
"DHH00001Zm00004b04011",2
"DHH00001Zm00004b04062",1
"DHH00001Zm00004b04066",1
"DHH00001Zm00004b04091",1
"DHH00001Zm00004b04103",1
"DHH00001Zm00004b04109",2
"DHH00001Zm00004b04112",1
"DHH00001Zm00004b04120",1
"DHH00001Zm00004b04130",1
"DHH00001Zm00004b04135",5
"DHH00001Zm00004b04141",1
"DHH00001Zm00004b04146",1
"DHH00001Zm00004b04168",1
"DHH00001Zm00004b04227",1
"DHH00001Zm00004b04230",1
"DHH00001Zm00004b04240",1
"DHH00001Zm00004b04243",1
"DHH00001Zm00004b04259",2
"DHH00001Zm00004b04262",1
"DHH00001Zm00004b04321",5
"DHH00001Zm00004b04334",1
"DHH00001Zm00004b04411",1
"DHH00001Zm00004b04436",1
"DHH00001Zm00004b04450",4
"DHH00001Zm00004b04468",1
"DHH00001Zm00004b04471",1
"DHH00001Zm00004b04493",1
"DHH00001Zm00004b04501",1
"DHH00001Zm00004b04502",4
"DHH00001Zm00004b04539",1
"DHH00001Zm00004b04569",7
"DHH00001Zm00004b04607",7
"DHH00001Zm00004b04625",2
"DHH00001Zm00004b04651",1
"DHH00001Zm00004b04652",1
"DHH00001Zm00004b04668",3
"DHH00001Zm00004b04683",1
"DHH00001Zm00004b04709",1
"DHH00001Zm00004b04723",1
"DHH00001Zm00004b04724",2
"DHH00001Zm00004b04738",1
"DHH00001Zm00004b04758",1
"DHH00001Zm00004b04765",1
"DHH00001Zm00004b04773",1
"DHH00001Zm00004b04787",4
"DHH00001Zm00004b04812",2
"DHH00001Zm00004b04813",5
"DHH00001Zm00004b04815",5
"DHH00001Zm00004b04853",1
"DHH00001Zm00004b04877",1
"DHH00001Zm00004b04892",1
"DHH00001Zm00004b04901",1
"DHH00001Zm00004b04907",2
"DHH00001Zm00004b04912",1
"DHH00001Zm00004b04951",1
"DHH00001Zm00004b05034",1
"DHH00001Zm00004b05085",1
"DHH00001Zm00004b05107",1
"DHH00001Zm00004b05127",1
"DHH00001Zm00004b05144",1
"DHH00001Zm00004b05149",1
"DHH00001Zm00004b05154",4
"DHH00001Zm00004b05156",5
"DHH00001Zm00004b05164",1
"DHH00001Zm00004b05171",1
"DHH00001Zm00004b05177",4
"DHH00001Zm00004b05185",1
"DHH00001Zm00004b05194",1
"DHH00001Zm00004b05210",2
"DHH00001Zm00004b05212",1
"DHH00001Zm00004b05221",2
"DHH00001Zm00004b05227",4
"DHH00001Zm00004b05238",1
"DHH00001Zm00004b05239",1
"DHH00001Zm00004b05255",1
"DHH00001Zm00004b05259",2
"DHH00001Zm00004b05264",2
"DHH00001Zm00004b05274",1
"DHH00001Zm00004b05287",4
"DHH00001Zm00004b05306",1
"DHH00001Zm00004b05311",2
"DHH00001Zm00004b05315",1
"DHH00001Zm00004b05326",1
"DHH00001Zm00004b05328",3
"DHH00001Zm00004b05335",2
"DHH00001Zm00004b05346",1
"DHH00001Zm00004b05351",1
"DHH00001Zm00004b05353",1
"DHH00001Zm00004b05356",3
"DHH00001Zm00004b05365",2
"DHH00001Zm00004b05443",1
"DHH00001Zm00004b05455",1
"DHH00001Zm00004b05477",5
"DHH00001Zm00004b05488",4
"DHH00001Zm00004b05501",1
"DHH00001Zm00004b05503",2
"DHH00001Zm00004b05507",2
"DHH00001Zm00004b05585",1
"DHH00001Zm00004b05598",1
